station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank
2760,0.14680078790508325,0.06620323740625901,188.0,260.0
2761,0.1592274372185033,0.07188912427666343,142.0,220.0
2811,0.11146670691668988,0.062181287990616896,301.0,286.0
2812,0.13217229697823757,0.08124131616648461,248.0,166.0
2813,0.1532414135996193,0.08372356947585351,162.0,155.0
2814,0.1879576248648975,0.11152166973629465,72.0,61.0
2815,0.1507071218556828,0.09141723148539536,171.0,123.0
2816,0.18956523830928496,0.12771389180727832,69.0,28.0
2817,0.21376024013799105,0.11713727159085612,25.0,51.0
2818,0.19243616333290464,0.11783954364927635,63.0,48.0
2819,0.16174499340473653,0.09245228990986354,134.0,117.0
2820,0.23027066219420672,0.15256030885243993,13.0,6.0
2821,0.18237155768576827,0.08594243812064332,84.0,144.0
2822,0.1342179192377934,0.06923061739283776,238.0,238.0
2823,0.13917251047900034,0.06739454776979985,218.0,254.0
2824,0.13269398825331813,0.0686422804632919,246.0,245.0
2825,0.15745569478631732,0.08646543171655917,146.0,141.0
2826,0.21079195863936864,0.10280405340812333,31.0,86.0
2827,0.18775251328294712,0.10504748601436852,73.0,80.0
4101,0.13395280344263907,0.07325083954363235,241.0,212.0
4102,0.13186935897591331,0.06431159898416983,251.0,275.0
4103,0.15222252280939194,0.06521672522575253,166.0,270.0
4104,0.13045359079445162,0.06915818554171847,257.0,241.0
4105,0.16356571255813518,0.06705318441067541,125.0,256.0
4106,0.1409201139392006,0.06245757810520159,209.0,284.0
4107,0.11056890402521401,0.06084088498933448,302.0,294.0
4108,0.1265452872592187,0.06921802729382992,268.0,239.0
4109,0.11371447946876291,0.0592407327751437,298.0,296.0
4110,0.1254655924788307,0.06692974350991703,269.0,257.0
4111,0.12294741341518975,0.06598672382607468,277.0,263.0
4112,0.12068854474004295,0.07182455021769757,283.0,221.0
4113,0.10307484772906354,0.05262518208917406,305.0,306.0
4114,0.14083504304289818,0.07379141267802981,210.0,203.0
4115,0.12962407968820083,0.06261579912111517,262.0,282.0
4116,0.11739362100405352,0.06523457666681641,294.0,269.0
4117,0.12392752139814318,0.0695965077617161,276.0,236.0
4118,0.1196142430993773,0.06748937364845049,284.0,253.0
4119,0.09279512298101235,0.05106024639607069,306.0,307.0
4120,0.14016312468383046,0.07864518640193316,213.0,179.0
4121,0.13077369557604904,0.0712093938733377,255.0,225.0
4122,0.11730768520325897,0.057293698348341485,295.0,302.0
4123,0.11198272051082718,0.05627394759997962,300.0,304.0
4124,0.12482911463649508,0.06614467871730169,272.0,261.0
4125,0.14316467944798722,0.07001679966758409,200.0,234.0
4126,0.15239908930860352,0.08105278303403227,165.0,168.0
4127,0.19566083231401288,0.09150161350308549,53.0,122.0
4128,0.1730616660197339,0.09633436350831906,101.0,103.0
4129,0.16177513298120294,0.08283176318934517,133.0,160.0
4130,0.16713124680377192,0.08529344862474812,118.0,148.0
